Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-2.304077E-03
32.05,-2.304077E-03
32.1,-2.304077E-03
32.15,-2.304077E-03
32.2,3.992218E-02
32.25,0.1085131
32.3,0.0240219
32.35,-0.1509175
32.4,-0.336507
32.45,-0.3363282
32.5,-0.1903381
32.55,3.512521E-02
32.6,0.3197446
32.65,0.4222839
32.7,0.3281434
32.75,5.756793E-02
32.8,-7.376869E-02
32.85,-0.1761241
32.9,-0.117955
32.95,3.167663E-02
33,0.2102591
33.05,0.2426093
33.1,0.1178667
33.15,8.776486E-02
33.2,2.707564E-02
33.25,-4.381783E-02
33.3,-1.567596E-02
33.35,-1.194848E-02
33.4,-6.601899E-02
33.45,3.057102E-02
33.5,0.1714587
33.55,3.272341E-02
33.6,-6.677359E-02
33.65,4.376575E-02
33.7,5.228108E-02
33.75,0.1071051
33.8,-2.268033E-02
33.85,-0.107043
33.9,-0.2610692
33.95,-0.2815266
34,-0.1677414
34.05,-0.140934
34.1,-0.1627434
34.15,-0.2736217
34.2,-0.1500711
34.25,-0.1080933
34.3,0.0465774
34.35,0.2843326
34.4,0.2824079
34.45,0.1317277
34.5,-0.111923
34.55,-0.1828921
34.6,-0.2525235
34.65,-0.3065839
34.7,-0.2205721
34.75,-4.235669E-02
34.8,0.1522942
34.85,0.297143
34.9,0.3489544
34.95,6.984836E-02
35,-0.2275424
35.05,-0.2124846
35.1,-6.205193E-02
35.15,9.059794E-02
35.2,0.2381808
35.25,0.2736724
35.3,8.361984E-02
35.35,-0.1520913
35.4,-0.1748663
35.45,-1.976583E-02
35.5,7.654209E-02
35.55,0.2171204
35.6,0.2729455
35.65,0.1153677
35.7,-7.922709E-02
35.75,-0.1226624
35.8,-0.157529
35.85,-0.12021
35.9,5.989443E-02
35.95,0.1848319
36,0.2073639
36.05,0.1236109
36.1,6.958781E-02
36.15,-0.110199
36.2,-0.1173972
36.25,3.416276E-02
36.3,0.1754005
36.35,0.2369584
36.4,9.469436E-02
36.45,9.271563E-02
36.5,-1.623841E-02
36.55,-1.838496E-02
36.6,6.842569E-02
36.65,0.1638799
36.7,0.1698266
36.75,9.382469E-02
36.8,0.1820578
36.85,6.228685E-02
36.9,5.940539E-02
36.95,0.135458
37,0.2394931
37.05,0.2756938
37.1,0.1606755
37.15,0.201412
37.2,0.143421
37.25,2.815017E-02
37.3,-1.840245E-03
37.35,8.523444E-02
37.4,0.1413143
37.45,7.664919E-02
37.5,0.2213319
37.55,0.1956221
37.6,7.663876E-02
37.65,0.1927521
37.7,0.3109505
37.75,0.4271408
37.8,0.4766878
37.85,0.5955599
37.9,0.3996958
37.95,3.326553E-02
38,-0.1601329
38.05,-0.1093664
38.1,7.326775E-02
38.15,0.1662045
38.2,0.3256105
38.25,0.2359156
38.3,2.300512E-02
38.35,-3.902233E-02
38.4,2.137688E-02
38.45,7.346831E-02
38.5,0.1640134
38.55,0.358405
38.6,0.3661863
38.65,0.3203011
38.7,0.2119832
38.75,0.2279663
38.8,0.1652358
38.85,7.013965E-02
38.9,0.1193927
38.95,8.996303E-02
39,-2.625745E-02
39.05,0.0415979
39.1,0.1644833
39.15,0.1398953
39.2,8.997296E-02
39.25,0.1740329
39.3,8.803606E-02
39.35,-4.603488E-02
39.4,-0.1619531
39.45,-0.2629763
39.5,-0.2514303
39.55,-0.1010468
39.6,0.1562231
39.65,0.2436511
39.7,0.1024036
39.75,-5.413259E-02
39.8,-0.1218361
39.85,-0.1108498
39.9,-0.1142505
39.95,3.310534E-02
40,3.922516E-02
40.05,-6.866049E-02
40.1,-7.388926E-02
40.15,-7.181727E-02
40.2,-0.1039849
40.25,-4.929081E-02
40.3,-1.898708E-02
40.35,-2.885414E-02
40.4,0.0384417
40.45,0.2212896
40.5,0.2345038
40.55,9.319824E-02
40.6,-0.1518725
