Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 7:27:38 PM"
Date Last Modified,"Thursday, October 10, 2019 8:09:01 PM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 1
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,34.5,43.00,79.8,1.0,0.0,77.2
145,577.49,"6,030.8",,206.8,55.32,204.9,2.7,21.1,352.5
157,203.30,"1,960.6",,75.8,56.46,133.3,0.7,7.6,126.5
162,223.61,"2,088.8",,85.0,56.95,133.1,0.6,8.4,140.4
171,508.22,"4,491.4",,199.6,57.83,211.7,1.1,19.4,324.6
180,370.43,"3,114.1",,150.1,58.66,148.4,1.0,14.4,240.3
195,336.43,"2,619.8",,143.2,60.03,144.2,1.2,13.4,223.8
210,187.25,"1,350.0",,83.5,61.48,89.1,1.3,7.6,127.2
224,46.05,311.4,,21.3,62.75,25.3,0.8,1.9,31.8
233,29.05,189.2,,13.8,63.55,22.0,0.7,1.2,20.2
243,43.28,269.7,,21.1,64.51,21.6,1.0,1.8,30.5
251,57.37,346.0,,28.6,65.26,26.9,1.8,2.4,40.8
311,14.09,68.6,,8.1,70.63,6.8,1.2,0.8,10.7
"10,380",75.00,10.9,Upper Marker,110.4,113.00,114.3,2.2,0.0,88.9
"11,885",0.00,0.0,,2.9,114.50,5.9,0.6,0.0,2.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,419.8,23,267,42.5,591.51,"3,730.7",12930121
 
 
Sample Name,sample 2
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,36.2,43.00,81.4,1.0,0.0,81.1
145,615.88,"6,442.8",,224.1,55.30,224.1,2.6,20.8,382.8
157,209.68,"2,024.0",,79.5,56.45,149.9,0.6,7.2,132.8
162,240.78,"2,250.6",,93.0,56.94,156.8,0.6,8.4,154.0
171,555.34,"4,921.6",,221.4,57.78,243.3,1.0,19.6,360.9
180,424.16,"3,573.8",,174.5,58.62,173.8,1.0,15.2,280.0
194,384.48,"2,998.3",,166.2,60.00,167.4,1.2,14.2,260.3
210,205.59,"1,483.3",,93.2,61.47,102.8,1.3,7.7,142.2
224,50.42,341.0,,23.7,62.75,28.6,0.8,1.9,35.4
232,28.38,185.2,,13.6,63.51,23.3,0.6,1.1,20.1
243,44.01,274.1,,21.8,64.53,23.1,1.0,1.7,31.6
251,52.09,314.5,,26.3,65.24,29.5,1.7,2.2,37.7
"10,380",75.00,10.9,Upper Marker,111.8,113.00,117.8,2.6,0.0,90.5
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
