Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 2
Number of Events,2121
 
Time,Value
32,-0.1330394
32.05,-3.692614E-02
32.1,-6.662491E-02
32.15,-5.892418E-02
32.2,-3.001047E-02
32.25,-0.0176657
32.3,6.593484E-02
32.35,-5.966816E-02
32.4,-1.047729E-02
32.45,-0.1025124
32.5,-9.308691E-02
32.55,9.222411E-03
32.6,0.1669052
32.65,0.2063055
32.7,-2.785572E-02
32.75,1.711613E-02
32.8,-0.1226812
32.85,-8.839079E-02
32.9,6.015407E-02
32.95,0.1960243
33,0.1802163
33.05,0.1475293
33.1,0.2914907
33.15,0.2365383
33.2,0.1015492
33.25,1.305055E-02
33.3,-3.784422E-02
33.35,-0.1125391
33.4,-0.1327683
33.45,3.034525E-02
33.5,1.40966E-03
33.55,-8.158314E-02
33.6,-0.1015578
33.65,-4.280518E-02
33.7,-1.527049E-02
33.75,-2.873543E-02
33.8,2.905919E-02
33.85,-7.520781E-02
33.9,-7.241974E-02
33.95,-6.969272E-02
34,0.1111736
34.05,0.1346838
34.1,2.941881E-02
34.15,-6.620467E-02
34.2,-0.2239705
34.25,-0.2846507
34.3,-0.2030798
34.35,3.111422E-02
34.4,0.1110941
34.45,8.560405E-02
34.5,0.1368545
34.55,7.843006E-02
34.6,9.232476E-02
34.65,6.046709E-02
34.7,0.1058481
34.75,6.320159E-02
34.8,2.982861E-02
34.85,2.291871E-02
34.9,7.223764E-03
34.95,-4.995157E-02
35,-0.1155455
35.05,-2.061565E-02
35.1,-4.753561E-02
35.15,-6.050932E-02
35.2,1.893111E-02
35.25,6.778212E-02
35.3,-8.994966E-02
35.35,-0.1287868
35.4,-6.377967E-02
35.45,-0.1017274
35.5,-0.1136726
35.55,-0.1117464
35.6,-8.954881E-02
35.65,-0.1193065
35.7,-3.049872E-02
35.75,1.229633E-02
35.8,8.998495E-03
35.85,1.461689E-03
35.9,0.1218487
35.95,0.242786
36,5.015732E-02
36.05,-0.1747248
36.1,-0.2209282
36.15,-0.1016441
36.2,4.960974E-02
36.25,0.1206265
36.3,0.1492977
36.35,-0.1100543
36.4,-0.2457868
36.45,-0.2193729
36.5,-0.1334879
36.55,-7.231726E-02
36.6,-2.925893E-02
36.65,0.190314
36.7,0.1109975
36.75,3.841817E-02
36.8,-7.511006E-02
36.85,-0.1198116
36.9,-0.1211535
36.95,-7.394306E-02
37,7.540115E-02
37.05,7.164996E-03
37.1,-9.278161E-02
37.15,-0.195512
37.2,-0.1369631
37.25,-6.190758E-02
37.3,1.925415E-02
37.35,0.1753139
37.4,7.187271E-02
37.45,-1.999099E-02
37.5,-0.1401619
37.55,-9.405334E-02
37.6,-5.078829E-02
37.65,-2.842072E-02
37.7,2.737308E-02
37.75,-4.395939E-02
37.8,-0.1896972
37.85,-0.343646
37.9,-0.2292417
37.95,-0.2419168
38,-0.1830648
38.05,-0.1016806
38.1,-4.186934E-02
38.15,-0.1345338
38.2,-0.245475
38.25,-0.1632505
38.3,-0.1980048
38.35,-9.538349E-02
38.4,-1.986494E-02
38.45,8.734034E-02
38.5,-9.390816E-02
38.55,-0.3355618
38.6,-0.3689204
38.65,-0.4533967
38.7,-0.2840636
38.75,0.0251237
38.8,0.2867379
38.85,0.1960659
38.9,-5.035554E-02
38.95,-0.2293367
39,-0.2510233
39.05,-0.1522763
39.1,-8.382705E-02
39.15,-3.87365E-03
39.2,-0.1124426
39.25,-0.1208359
39.3,-0.1089211
39.35,-6.432232E-02
39.4,-7.288095E-02
39.45,-0.172244
39.5,-7.340687E-02
39.55,-0.2255827
39.6,-0.3311295
39.65,-0.3783053
39.7,-0.229842
39.75,-0.1519747
39.8,-0.1771935
39.85,-4.392729E-02
39.9,-0.2776115
39.95,-0.4762384
40,-0.5075575
40.05,-0.3701964
40.1,-0.2256014
40.15,-6.454022E-03
40.2,0.2432704
